dis,gene,av.sim
C0234974,FPEVF,0.0427
C0234974,EPM2A,0.04115
C0234974,EML1,0.0393
C0234974,SCN2A,0.0387
C0234979,SLC20A2,0.0816
C0234979,KCNC3,0.0796
C0234979,APTX,0.0439666666666666
C0234979,SPTBN2,0.0354
C0234979,TBP,0.0335555555555555
C0234979,PLA2G6,0.0333
C0234979,ATXN8OS,0.0318222222222222
C0234979,NPHP1,0.0303
C0234979,PRKCG,0.0282444444444444
C0234979,FXN,0.0280222222222222
C0234979,FMR1,0.0266
C0234979,ATXN3,0.0262444444444444
C0234979,ATXN2,0.0262
C0234979,CACNA1A,0.0248
C0234979,MRE11,0.0247
C0234985,CHD2,0.143
C0234985,GABRB3,0.1055
C0234985,MAPK10,0.0972
C0234985,DNM1,0.0953
C0234985,KCNC3,0.0377124999999999
C0234985,SLC6A1,0.0357
C0234985,SLC20A2,0.0315
C0234985,SCN1A,0.0301
C0234985,GABRA1,0.02888
C0234985,SCN9A,0.0264888888888888
C0234985,PRKACA,0.0257
C0234985,GABRG2,0.02464
C0234985,SCN1B,0.02446
C0234985,IBGC1,0.0226
C0234985,MGR7,0.02175
C0235025,AAAS,0.09
C0235025,GAN,0.085875
C0235025,LMNA,0.063225
C0235025,TFG,0.063
C0235025,HMSNO,0.0556
C0235025,SPG9,0.0521
C0235025,LPIN1,0.04895
C0235025,UBE3A,0.0433
C0235025,FBLN5,0.0413333333333333
C0235025,ZMPSTE24,0.0410666666666666
C0235025,SLC12A6,0.0397
C0235025,CTDP1,0.0378
C0235025,GDAP1,0.0336
C0235025,TPM3,0.0335
C0235025,DHH,0.0329666666666666
C0235032,P2RX2,0.0843
C0235032,P2RX3,0.0834
C0235032,AD6,0.0758
C0235032,PLAU,0.0479444444444444
C0235032,F13B,0.047725
C0235032,ALOXE3,0.047525
C0235032,PLAT,0.045
C0235032,FOXE1,0.04248
C0235032,CPT1A,0.03172
C0235032,TRH,0.0299333333333333
C0235032,MIR208A,0.02845
C0235032,PTGFR,0.0275
C0235032,RARG,0.0274
C0235032,GNAS,0.0271
C0235032,BCL2,0.02625
C0235063,MAGEL2,0.2565
C0235063,SNRPN,0.221
C0235063,IPW,0.1233
C0235063,NPAP1,0.1124
C0235063,MKRN3,0.11
C0235063,NDN,0.1082
C0235063,MKRN3-AS1,0.1068
C0235063,HERC2,0.1059
C0235063,RAB18,0.0229111111111111
C0235063,RAB3GAP2,0.0225111111111111
C0235063,RAB3GAP1,0.0211666666666666
C0235063,SMS,0.0208875
C0235063,GDF5,0.01675
C0235063,MED12,0.0166111111111111
C0235063,DMD,0.0159
C0235095,PEX2,0.1199
C0235095,PEX3,0.107
C0235095,PEX6,0.1069
C0235095,PEX26,0.1004
C0235095,PEX12,0.0967
C0235095,PEX16,0.0911
C0235095,PEX19,0.0896
C0235095,PEX10,0.0846
C0235095,PEX13,0.0834
C0235095,PEX5,0.0833
C0235095,PEX14,0.0802
C0235095,PEX11B,0.0743
C0235095,PEX1,0.0714
C0235095,IMPDH1,0.0593
C0235095,FSCN2,0.0567
C0235153,MOG,0.2291
C0235153,ND6,0.1156
C0235153,HLA-DQB1,0.0999
C0235153,TNFSF4,0.0981
C0235153,P2RY11,0.0869
C0235153,ND1,0.077
C0235153,COX1,0.0762
C0235153,ND5,0.0736
C0235153,HCRT,0.0731
C0235153,TRNL1,0.0713
C0235153,TRNS1,0.0674
C0235153,HLA-DRB1,0.0668
C0235153,ZNF365,0.0661
C0235153,TRNQ,0.0656
C0235153,TRNS2,0.061
C0235259,LRP5,0.2795
C0235259,TSPAN12,0.0983666666666666
C0235259,CYP7A1,0.0756
C0235259,NDP,0.0549999999999999
C0235259,DICER1,0.0466
C0235259,ZNF408,0.04605
C0235259,IKBKG,0.0454
C0235259,NR2E3,0.04445
C0235259,PIK3CA,0.0417
C0235259,SOST,0.0375666666666666
C0235259,WNT3A,0.0328
C0235259,TNFRSF11B,0.02355
C0235259,GJA1,0.02335
C0235259,CA2,0.0229
C0235259,CAPN5,0.0209333333333333
C0235357,ERCC6,0.059
C0235357,ZMPSTE24,0.05686
C0235357,EDA,0.04644
C0235357,ERCC8,0.0427
C0235357,HPGD,0.04145
C0235357,ERCC3,0.03464
C0235357,GRIP1,0.0216
C0235357,EIF2AK3,0.0197
C0235357,SOX10,0.0196
C0235357,KRT17,0.0185
C0235357,ASL,0.0176
C0235357,POLH,0.01625
C0235357,EDARADD,0.01615
C0235357,WNT10A,0.0154
C0235357,NECTIN1,0.01404
C0235430,BCKDHA,0.248
C0235430,DBT,0.2193
C0235430,BCKDHB,0.2019
C0235430,ACSF3,0.052475
C0235430,APOC2,0.0516
C0235430,TYMS,0.0458
C0235430,PHKG2,0.041
C0235430,G6PC,0.0372714285714285
C0235430,SHOX,0.0357
C0235430,IGFALS,0.0348
C0235430,PPM1K,0.0330833333333333
C0235430,GHR,0.03032
C0235430,MLYCD,0.0276
C0235430,SLC37A4,0.0261
C0235430,DLD,0.0259285714285714
C0235480,SCN5A,0.2406
C0235480,SCN2B,0.055
C0235480,SCN4B,0.03926
C0235480,TRPM4,0.03202
C0235480,HCN4,0.03104
C0235480,NKX2-5,0.02544
C0235480,KCNE2,0.0206
C0235480,AKAP9,0.0204
C0235480,KCNJ8,0.01884
C0235480,KCNQ1,0.01824
C0235480,CHRNA7,0.0165
C0235480,CHRNB2,0.0164
C0235480,KCNE1,0.0157399999999999
C0235480,HBN1,0.01464
C0235480,ANK2,0.0129199999999999
C0235659,LETM1,0.1026
C0235659,NDN,0.0928
C0235659,NPAP1,0.0825
C0235659,IPW,0.0775
C0235659,MKRN3,0.077
C0235659,MKRN3-AS1,0.0766
C0235659,CHRNA1,0.07322
C0235659,MAGEL2,0.0679
C0235659,SNRPN,0.0591
C0235659,HERC2,0.0589
C0235659,CPLX1,0.0566
C0235659,COLQ,0.04745
C0235659,CHRND,0.0409999999999999
C0235659,COL6A2,0.0349
C0235659,CHRNE,0.0312
C0235752,ROR2,0.1865
C0235752,TSC1,0.1514
C0235752,DVL1,0.1094
C0235752,WNT5A,0.0977
C0235752,TSC2,0.0389
C0235752,JAG2,0.0267
C0235752,SNRPB,0.0259
C0235752,AKT3,0.0256
C0235752,DVL3,0.0238333333333333
C0235752,PTEN,0.0231666666666666
C0235752,IFNG,0.023025
C0235752,ITGB4,0.0218
C0235752,ITGA6,0.02115
C0235752,COL3A1,0.0192
C0235752,HOXD13,0.0190666666666666
C0235833,LETM1,0.0707
C0235833,COL1A1,0.0607
C0235833,PAX3,0.0495
C0235833,CPLX1,0.03734
C0235833,FGFRL1,0.0351
C0235833,CTBP1,0.03412
C0235833,ELN,0.02897
C0235833,COL3A1,0.0250555555555555
C0235833,ALDH18A1,0.0236
C0235833,NSD2,0.0211
C0235833,SIN3A,0.0187
C0235833,GPC3,0.0182
C0235833,ALX1,0.017
C0235833,SOS1,0.0161875
C0235833,MNX1,0.0161
C0235857,ERCC6,0.3739
C0235857,ERCC8,0.2332
C0235857,OTOF,0.0554
C0235857,BMP15,0.0525
C0235857,CCDC88A,0.0442
C0235857,EDNRB,0.03485
C0235857,MKS1,0.032
C0235857,KCNJ6,0.0304
C0235857,ERCC3,0.0293
C0235857,EDN3,0.02585
C0235857,RECQL4,0.02585
C0235857,UVSSA,0.0224
C0235857,EIF2AK3,0.0221666666666666
C0235857,ANOS1,0.0194
C0235857,ERCC1,0.0192
C0235886,FAM134B,0.2133999999999999
C0235886,SCN9A,0.137
C0235886,TP63,0.0624
C0235886,BBS12,0.05975
C0235886,HOXA13,0.0583
C0235886,CCDC88A,0.05575
C0235886,BBS9,0.05305
C0235886,BBS7,0.0526
C0235886,BBS2,0.0523499999999999
C0235886,POR,0.0519
C0235886,COG5,0.04805
C0235886,MKKS,0.0453
C0235886,FN1,0.0431
C0235886,KIF1A,0.0422
C0235886,SALL1,0.0373
C0235896,CTLA4,0.1416
C0235896,HLA-DPB1,0.131
C0235896,CCR6,0.1278
C0235896,CAV1,0.1239
C0235896,PTPN22,0.1057
C0235896,HLA-DRB1,0.1051
C0235896,PRTN3,0.0919
C0235896,CTGF,0.078
C0235896,IRF5,0.0647
C0235896,IGH,0.0484
C0235896,BIRC3,0.0466
C0235896,KIAA0319L,0.0323625
C0235896,BCL10,0.0292
C0235896,DNASE1L3,0.0281499999999999
C0235896,MALT1,0.0251
C0235942,FGFR2,0.0838
C0235942,TWIST1,0.0717
C0235942,FGFR3,0.0598
C0235942,DMP1,0.0551
C0235942,ENPP1,0.0538
C0235942,RAB23,0.0521
C0235942,PHEX,0.0516
C0235942,FGFR1,0.0437
C0235942,POR,0.0395
C0235942,MEGF8,0.0384
C0235942,ERF,0.0352
C0235942,SEC24D,0.03306
C0235942,MASP1,0.032
C0235942,RECQL4,0.0296999999999999
C0235942,ZIC1,0.0237
C0235946,TRNF,0.0591
C0235946,ND5,0.057
C0235946,FOXRED1,0.05628
C0235946,PLA2G6,0.0508
C0235946,ND1,0.0504
C0235946,ND6,0.0487
C0235946,NDUFB3,0.04783
C0235946,TRNQ,0.0478
C0235946,MECP2,0.0477
C0235946,NDUFA1,0.04691
C0235946,TRNL1,0.0468
C0235946,PEX12,0.04573
C0235946,TREM2,0.0445
C0235946,NAGA,0.0445
C0235946,ST3GAL5,0.044
C0235971,NBN,0.1732
C0235971,HMBS,0.1088
C0235971,DCLRE1C,0.0892
C0235971,RAD50,0.0854
C0235971,ATM,0.0701
C0235971,SLC4A1,0.0459
C0235971,ALAD,0.0432
C0235971,HPD,0.0417
C0235971,SCN4A,0.0413
C0235971,TAT,0.0403
C0235971,ADA,0.0334
C0235971,CTPS1,0.0303
C0235971,SLC25A13,0.0298
C0235971,CLCN5,0.0275
C0235971,ADK,0.0258
C0235983,GPI,0.1091999999999999
C0235983,HK1,0.0901
C0235983,LDLRAP1,0.0778333333333333
C0235983,RPL11,0.0551333333333333
C0235983,APOE,0.0513
C0235983,PKLR,0.05
C0235983,ABCB4,0.0456
C0235983,HBB,0.0455
C0235983,GDAP1,0.0409333333333333
C0235983,NMSR,0.040725
C0235983,TPI1,0.0406
C0235983,TTPA,0.0396333333333333
C0235983,APOB,0.0384666666666666
C0235983,IFNG,0.0332
C0235983,SMPD1,0.0328666666666666
C0235986,MEN1,0.2714
C0235986,CDKN1B,0.2599
C0235986,CDKN2C,0.2556
C0235986,CDKN2B,0.1761
C0235986,CDKN1A,0.0908
C0235986,GPR101,0.0748833333333333
C0235986,AIP,0.0631
C0235986,PRKAR1A,0.0494
C0235986,AGPAT2,0.0445
C0235986,PPARG,0.0413
C0235986,CAV1,0.0388
C0235986,RET,0.0371142857142857
C0235986,FOS,0.0361
C0235986,LMNA,0.0308142857142857
C0235986,INSR,0.0307
C0235991,GCK,0.1639
C0235991,INS,0.1345
C0235991,ABCC8,0.1267
C0235991,LETM1,0.102
C0235991,KCNJ11,0.0867
C0235991,PDX1,0.051
C0235991,RET,0.0424
C0235991,GATA6,0.0361
C0235991,NSD2,0.0293
C0235991,PLAGL1,0.02826
C0235991,FGFRL1,0.026
C0235991,SEPSECS,0.0218666666666666
C0235991,CPLX1,0.0185
C0235991,ERCC6,0.0184
C0235991,HSD3B2,0.01826
C0235996,GPD1,0.1707
C0235996,TRMU,0.1635
C0235996,DPM3,0.1526
C0235996,ABCB4,0.0609
C0235996,AKR1D1,0.054
C0235996,G6PC,0.0532
C0235996,AMACR,0.0509
C0235996,SLC37A4,0.0491
C0235996,ADK,0.0475
C0235996,DGUOK,0.0468
C0235996,FAH,0.0467
C0235996,PMM2,0.0462
C0235996,BCS1L,0.0461
C0235996,ACOX1,0.045
C0235996,CYP7B1,0.044
C0236000,SCN11A,0.2641
C0236000,KIF1A,0.2307
C0236000,FAM134B,0.2163
C0236000,SCN10A,0.1274
C0236000,SCN1A,0.0693
C0236000,TP63,0.061
C0236000,NGF,0.0601
C0236000,IKBKAP,0.06
C0236000,POMC,0.06
C0236000,MAPT,0.0443
C0236000,PLA2G6,0.0375
C0236000,ATF6,0.0326
C0236000,SOD1,0.0323
C0236000,ATXN3,0.0313
C0236000,WNK1,0.0306
C0236048,GDF6,0.0960666666666666
C0236048,PTEN,0.0582
C0236048,TGFB1,0.0521666666666666
C0236048,GREM1,0.0514
C0236048,SAMHD1,0.0492333333333333
C0236048,ENG,0.042275
C0236048,CTNNB1,0.0421
C0236048,APC,0.033
C0236048,AXIN2,0.0315333333333333
C0236048,MUTYH,0.0305
C0236048,KRT6A,0.03
C0236048,TSC1,0.02335
C0236048,ACVRL1,0.017825
C0236048,GDF2,0.016375
C0236048,DEFA5,0.0159666666666666
C0236175,KRT16,0.1121428571428571
C0236175,IL2RG,0.0605833333333333
C0236175,IL2RA,0.0594166666666666
C0236175,KRT1,0.0452
C0236175,ST14,0.0440666666666666
C0236175,WIPF1,0.0436999999999999
C0236175,KRT10,0.0399857142857142
C0236175,FIG4,0.03085
C0236175,TGM5,0.0245857142857142
C0236175,RUNX2,0.0236
C0236175,ANKRD11,0.023
C0236175,RETSAT,0.0215
C0236175,WNT5A,0.0199
C0236175,DVL1,0.0187666666666666
C0236175,RAG1,0.0172166666666666
C0236642,PSEN1,0.2552
C0236642,TREM2,0.25475
C0236642,MAPT,0.2213
C0236642,VCP,0.2207
C0236642,CHMP2B,0.20095
C0236642,GRN,0.19865
C0236642,SQSTM1,0.08945
C0236642,NCSTN,0.0787
C0236642,SYNJ1,0.0599
C0236642,CTSC,0.0573
C0236642,PRKRA,0.0553
C0236642,PSENEN,0.0445
C0236642,C9orf72,0.0388
C0236642,GJB2,0.0383
C0236642,PSEN2,0.0316
C0236663,PARK16,0.0885
C0236663,CYP2B6,0.0812
C0236663,TAS2R38,0.064275
C0236663,PRDM12,0.05005
C0236663,POR,0.0489666666666666
C0236663,AKR1C3,0.04622
C0236663,AR,0.0457
C0236663,B2M,0.0447
C0236663,ANPEP,0.0442333333333333
C0236663,SLC29A1,0.04335
C0236663,FMR1,0.037125
C0236663,SCN10A,0.0357
C0236663,CYB5A,0.0314
C0236663,CPT1A,0.0303333333333333
C0236663,IFNA2,0.0292
C0236664,ADH1B,0.126
C0236664,PRKG1,0.0815
C0236664,NPPA,0.0788
C0236664,NPY1R,0.070325
C0236664,DRD4,0.06888
C0236664,NPSR1,0.04805
C0236664,ADH7,0.0464
C0236664,GHS,0.0411
C0236664,HFM,0.0411
C0236664,PPARA,0.036775
C0236664,GJA1,0.0306
C0236664,FGFR1,0.0279
C0236664,DLST,0.02715
C0236664,SOD1,0.026375
C0236664,TKT,0.0254
C0236733,DRD3,0.0977
C0236733,DRD2,0.0803
C0236733,SLC6A3,0.0749
C0236733,NPPA,0.0464
C0236733,SLC6A4,0.0413
C0236733,OPRM1,0.0388
C0236733,FOSB,0.038075
C0236733,GNAS,0.03705
C0236733,GABRA2,0.0353555555555555
C0236733,SLITRK1,0.0332
C0236733,GTS,0.0329
C0236733,IFNA2,0.032525
C0236733,SCGB1A1,0.03155
C0236733,GRM3,0.0315
C0236733,S100B,0.03066
C0236736,DRD2,0.0837
C0236736,DRD3,0.0689
C0236736,DRD4,0.05875
C0236736,PDYN,0.0538
C0236736,TBX19,0.0515
C0236736,ANKK1,0.04195
C0236736,SLC6A4,0.0418
C0236736,LINC00163,0.0403
C0236736,CNR1,0.0402
C0236736,PENK,0.03804
C0236736,PRKAR1A,0.0371
C0236736,NRCLP2,0.03555
C0236736,OPRM1,0.0354
C0236736,CAMK2B,0.0328
C0236736,FAAH,0.03028
C0236792,GNPTAB,0.164
C0236792,SLC6A2,0.1026
C0236792,ROGDI,0.1021
C0236792,ZNF365,0.0822
C0236792,CND,0.0809
C0236792,NM,0.0808
C0236792,SPG38,0.0804
C0236792,IDDM23,0.0796
C0236792,IDDMX,0.0793
C0236792,MROS,0.0791
C0236792,AD13,0.0789
C0236792,DFNB14,0.0787
C0236792,KWE,0.0787
C0236792,DTNBP1,0.077
C0236792,BMIQ13,0.0764
C0236811,RET,0.099
C0236811,LMNA,0.0821
C0236811,PPP1R3A,0.0765
C0236811,TNFRSF1A,0.0614
C0236811,SAMD9,0.0498
C0236811,ICAM1,0.0487
C0236811,NR0B1,0.046
C0236811,CYP1A2,0.0418
C0236811,TLX1,0.0359
C0236811,AKT2,0.0319
C0236811,CAV1,0.0292
C0236811,POMC,0.0272
C0236811,BSCL2,0.0238
C0236811,AGPAT2,0.0233
C0236811,FOS,0.0212
C0236964,GUCY2D,0.2726
C0236964,KCNJ5,0.1848
C0236964,GABRA1,0.0913
C0236964,SLC6A4,0.08815
C0236964,LOXHD1,0.0719
C0236964,PROK2,0.0704
C0236964,MKL2,0.066
C0236964,DRD3,0.05985
C0236964,MAOA,0.05055
C0236964,RPE65,0.0455
C0236964,TPH2,0.04165
C0236964,CACD,0.037
C0236964,PITPNM3,0.0361
C0236964,TSNAX-DISC1,0.0359
C0236964,TDO2,0.0346
C0236969,CDH23,0.0988333333333333
C0236969,CANT1,0.0642714285714285
C0236969,MYO7A,0.0626444444444444
C0236969,USH1H,0.0614714285714285
C0236969,MPV17,0.0532714285714285
C0236969,USH1E,0.0458428571428571
C0236969,KIF7,0.03955
C0236969,BBS1,0.0375166666666666
C0236969,HSPBAP1,0.0298
C0236969,DIRC3,0.0287
C0236969,ENPP1,0.0280375
C0236969,SIVA1,0.0269666666666666
C0236969,SLC22A4,0.0262222222222222
C0236969,SLC22A5,0.023725
C0236969,ABCC6,0.0236
C0237304,CACNA1S,0.1032333333333333
C0237304,KCNE3,0.0988
C0237304,SLC25A1,0.0313
C0237304,TSPYL1,0.031
C0237304,FLNA,0.0307
C0237304,SLC18A2,0.0296
C0237304,SCN4A,0.0292
C0237304,IPOX,0.02665
C0237304,GPX4,0.0262
C0237304,GABRA3,0.0254666666666666
C0237304,CLCN1,0.0212333333333333
C0237304,ACADSB,0.0198666666666666
C0237304,SLC16A1,0.0110333333333333
C0237304,SLC4A1,0.0041
C0237304,ACTA1,0.0033333333333333
C0237326,SCN11A,0.152
C0237326,EDN3,0.1244
C0237326,TSHB,0.1186
C0237326,SCN9A,0.0998
C0237326,HPSE2,0.0568666666666666
C0237326,ASCL1,0.0525
C0237326,NKX2-6,0.04234
C0237326,SCN10A,0.0399
C0237326,ELN,0.0392
C0237326,GTF2IRD1,0.0385
C0237326,NKX2-5,0.0376
C0237326,PLXND1,0.036225
C0237326,TG,0.0352
C0237326,PAX8,0.0337
C0237326,CLIP2,0.0328
C0237653,MEFV,0.4256
C0237653,FAS,0.1067
C0237653,CCR1,0.1064
C0237653,TLR4,0.1047
C0237653,IL12A,0.1003
C0237653,HLA-B,0.0917
C0237653,KLRC4,0.091
C0237653,IL10,0.0897
C0237653,C4A,0.0866
C0237653,ERAP1,0.0844
C0237653,STAT4,0.0762
C0237653,IFNG,0.0645
C0237653,TNFRSF1A,0.0469749999999999
C0237653,MVK,0.03855
C0237653,ITK,0.0232375
C0237849,KRT1,0.218
C0237849,KRT10,0.119
C0237849,KRT16,0.1094571428571428
C0237849,LOR,0.0622571428571428
C0237849,KRT9,0.0577857142857142
C0237849,TRPV3,0.0518249999999999
C0237849,KRT17,0.0298428571428571
C0237849,DSP,0.0291285714285714
C0237849,SLURP1,0.0232
C0237849,DSG1,0.02155
C0237849,ERCC2,0.0209285714285714
C0237849,GJB3,0.0191714285714285
C0237849,GJB2,0.0188571428571428
C0237849,GJB4,0.0160142857142857
C0237849,NSDHL,0.0153
C0237873,PTGER3,0.0834
C0237873,ZP1,0.0773
C0237873,CGB3,0.0603
C0237873,CSF3,0.05515
C0237873,CYP17A1,0.0530666666666666
C0237873,LHB,0.0480333333333333
C0237873,PTGDR,0.0472499999999999
C0237873,TBX21,0.0441333333333333
C0237873,AIP,0.0430333333333333
C0237873,PRLR,0.039675
C0237873,PLAT,0.0394666666666666
C0237873,LHCGR,0.0388666666666666
C0237873,SRD5A2,0.0355
C0237873,FGF7,0.0348
C0237873,CYP19A1,0.03455
C0238111,CHD2,0.344
C0238111,GABRB3,0.2898
C0238111,SLC6A1,0.176525
C0238111,DNM1,0.1678
C0238111,SCN1A,0.1301
C0238111,GABRA1,0.1251
C0238111,MAPK10,0.1172
C0238111,SCN9A,0.08405
C0238111,GABRG2,0.07395
C0238111,SCN1B,0.0522749999999999
C0238111,KCNMA1,0.043125
C0238111,STXBP1,0.042525
C0238111,SCN2A,0.0324249999999999
C0238111,GOSR2,0.0305749999999999
C0238111,NAGA,0.0273666666666666
C0238198,SDHD,0.768
C0238198,SDHC,0.3993
C0238198,SDHB,0.3745
C0238198,SDHA,0.1159
C0238198,SDHAF2,0.0762
C0238198,SDHAF1,0.0484
C0238198,PDGFRA,0.0314
C0238198,NF1,0.031175
C0238198,BAP1,0.0309
C0238198,KIT,0.0273
C0238198,ISCU,0.021425
C0238198,PIK3CA,0.0213
C0238198,AKT1,0.019875
C0238198,PTEN,0.019575
C0238198,SEC23B,0.0194249999999999
C0238207,FANCE,0.1475
C0238207,FANCA,0.0973
C0238207,FANCD2,0.0899
C0238207,FANCC,0.077
C0238207,FANCB,0.0715833333333333
C0238207,FGFR2,0.0310833333333333
C0238207,BRCA2,0.0296333333333333
C0238207,FGF10,0.0275
C0238207,RECQL4,0.027
C0238207,ZIC3,0.0238166666666666
C0238207,FGFR3,0.0237666666666666
C0238207,SF3B4,0.0234166666666666
C0238207,HOXD13,0.0218
C0238207,NAA10,0.02135
C0238207,ERCC4,0.0203833333333333
C0238210,EYA1,1.2295
C0238210,SIX1,0.966
C0238210,ORC1,0.0765
C0238210,ACF,0.0728
C0238210,PDCD10,0.0563
C0238210,TFAP2A,0.04185
C0238210,RPL10,0.04155
C0238210,NOTCH3,0.0412
C0238210,PAX1,0.0394
C0238210,SIX5,0.0365
C0238210,EP300,0.0337
C0238210,UBB,0.0322999999999999
C0238210,POU3F4,0.02545
C0238210,GJB2,0.02525
C0238210,GJB6,0.02475
C0238288,COL5A1,0.1329666666666666
C0238288,COL1A1,0.0511333333333333
C0238288,FRG1,0.0428
C0238288,IGFBP7,0.0416333333333333
C0238288,COL5A2,0.04092
C0238288,FBLN5,0.03712
C0238288,FAM134B,0.0318
C0238288,SCN9A,0.0317
C0238288,NOP56,0.0295
C0238288,SIX3,0.0294
C0238288,RASA1,0.027
C0238288,MMP9,0.027
C0238288,TNXB,0.0267
C0238288,MMP13,0.02608
C0238288,CCDC88A,0.0257
C0238300,EYA1,0.5164333333333334
C0238300,ITGA3,0.0909
C0238300,CD46,0.0861
C0238300,ORC1,0.0605
C0238300,HBB,0.0605
C0238300,COL2A1,0.0415
C0238300,COL7A1,0.0385
C0238300,DICER1,0.0345
C0238300,NOTCH3,0.0336
C0238300,ACF,0.03235
C0238300,FLNA,0.02635
C0238300,SIX1,0.0254
C0238300,ITGB4,0.0225
C0238300,ITGA6,0.0223
C0238300,KCNJ10,0.0191
C0238339,SPINK1,0.368
C0238339,CEL,0.18235
C0238339,PRSS1,0.1476
C0238339,PTHLH,0.13092
C0238339,CTRC,0.0761
C0238339,SERPINF2,0.07422
C0238339,GUCY2C,0.071375
C0238339,ADGRG2,0.0604
C0238339,SERPINA1,0.05866
C0238339,LAMTOR2,0.0474
C0238339,CFTR,0.0429
C0238339,PHKA1,0.0399
C0238339,KLK3,0.03528
C0238339,FLNA,0.034
C0238339,AR,0.0323
C0238358,SCN4A,0.4114
C0238358,GABRA3,0.3040666666666666
C0238358,CACNA1S,0.273
C0238358,KCNE3,0.1739
C0238358,CLCN1,0.06995
C0238358,HCN4,0.0564
C0238358,CHRNG,0.03215
C0238358,SLC16A1,0.0312
C0238358,KCNJ18,0.0273
C0238358,CNBP,0.0210666666666666
C0238358,SHPK,0.0186
C0238358,SCN1B,0.0156333333333333
C0238358,GYS2,0.0146
C0238358,SLC4A1,0.0142666666666666
C0238358,KCNJ2,0.0141333333333333
C0238378,SFTPC,0.19615
C0238378,ABCA3,0.1258
C0238378,SFTPB,0.0998
C0238378,MTO1,0.0714
C0238378,COQ4,0.0697
C0238378,ABCB4,0.0644
C0238378,ATP8B1,0.0622
C0238378,CSF2RB,0.0609
C0238378,ZNF423,0.04985
C0238378,MARS,0.03695
C0238378,CHRNE,0.0352
C0238378,CHAT,0.0351
C0238378,TNNT2,0.0346
C0238378,MEGF10,0.0336
C0238378,TERT,0.0282
C0238394,WNT4,0.0823
C0238394,FZD6,0.0517
C0238394,PKHD1,0.0512
C0238394,ASXL1,0.049
C0238394,POR,0.04595
C0238394,GALT,0.0334
C0238394,VPS13A,0.0288
C0238394,ROR2,0.0277
C0238394,NIPBL,0.0272
C0238394,ALX1,0.02655
C0238394,FMR1,0.02645
C0238394,GLI3,0.0217666666666666
C0238394,CGA,0.01765
C0238394,HSD3B2,0.01675
C0238394,GATA4,0.01505
C0238395,SRY,0.3854
C0238395,SOX9,0.1713
C0238395,POR,0.1378
C0238395,NR5A1,0.1266
C0238395,GATA4,0.120725
C0238395,ZFPM2,0.1122249999999999
C0238395,NR0B1,0.1059
C0238395,MAP3K1,0.1031
C0238395,VAMP7,0.10275
C0238395,WWOX,0.0977625
C0238395,CYB5A,0.0813
C0238395,CYP11B1,0.0732375
C0238395,DHH,0.0706
C0238395,HSD3B2,0.0703
C0238395,CYP11A1,0.0581
C0238397,PTPN11,0.1128
C0238397,RIT1,0.1016
C0238397,KRAS,0.0999
C0238397,SOS1,0.0947
C0238397,RASA2,0.0944
C0238397,BRAF,0.0937
C0238397,SOS2,0.0872
C0238397,NRAS,0.0859
C0238397,LZTR1,0.0845
C0238397,RAF1,0.08
C0238397,KAT6B,0.0776
C0238397,MAP2K1,0.0625888888888888
C0238397,MAP2K2,0.0344777777777777
C0238397,HRAS,0.0334222222222222
C0238397,NF1,0.0253222222222222
C0238399,TSC1,1.2022
C0238399,TSC2,1.0498
C0238399,IFNG,0.0898
C0238399,BUB1B,0.0558
C0238399,CDKN1B,0.0556
C0238399,PTEN,0.04395
C0238399,NF1,0.0439
C0238399,CHDM,0.033
C0238399,T,0.03295
C0238399,MEN1,0.0296999999999999
C0238399,KIF1A,0.0287
C0238399,CDKL5,0.0287
C0238399,CDKN2B,0.0233999999999999
C0238399,CDKN1A,0.0232
C0238399,HES1,0.0227
C0238441,OFD1,0.0647
C0238441,ROR2,0.0645
C0238441,OTX2,0.0637
C0238441,WNT7A,0.06195
C0238441,VPS13A,0.0611
C0238441,FOXN1,0.0577
C0238441,HESX1,0.0568
C0238441,GLI2,0.0551
C0238441,CDON,0.0415
C0238441,FREM2,0.0412
C0238441,FRAS1,0.0412
C0238441,GNAI3,0.0394
C0238441,TFAP2A,0.0392
C0238441,TBX1,0.039
C0238441,AK2,0.038
C0238462,ITGA8,0.1488
C0238462,NGF,0.1287
C0238462,SCN11A,0.12565
C0238462,PRDM12,0.1207
C0238462,FGF20,0.1088
C0238462,IKBKAP,0.091
C0238462,MPV17,0.0871
C0238462,SCN9A,0.0867
C0238462,HPGD,0.0636
C0238462,SLC35C1,0.0599
C0238462,EDN3,0.0561
C0238462,SIM1,0.055
C0238462,SCN10A,0.0529
C0238462,ASCL1,0.04855
C0238462,PHOX2B,0.04835
C0238463,RET,0.0683
C0238463,MINPP1,0.0559333333333333
C0238463,PTEN,0.05432
C0238463,FOXE1,0.0512
C0238463,HSPBAP1,0.0432625
C0238463,RNF139,0.0421875
C0238463,SGO1,0.0411
C0238463,FHIT,0.03775
C0238463,NRAS,0.0347
C0238463,TSHR,0.03271
C0238463,NKX2-5,0.03257
C0238463,SLC26A4,0.03089
C0238463,PRKAR1A,0.0283
C0238463,NF2,0.0271
C0238463,ESR2,0.0268666666666666
C0238506,NALCN,0.2317
C0238506,CDKN1C,0.2021
C0238506,KCNQ1OT1,0.1992
C0238506,KCNQ1,0.1819
C0238506,LRIG2,0.0798
C0238506,MYH3,0.0532
C0238506,LMNA,0.0496
